service,environment,status
s3,prod,healthy
ec2-spot,dev,running
eks-staging,stage,degraded
rds-mysql,prod,backup_ok
cloudfront,prod,healthy
lambda-api,dev,errors_low
codepipeline,prod,deploy_success
cloudwatch-alarm,prod,alerting
ecr-repo,dev,new_image_pushed
route53,prod,healthy
sqs-queue,dev,processing
sns-topic,prod,healthy
vpc-endpoint,stage,active
iam-auth,prod,healthy
eks-prod,prod,healthy
alb-app,stage,high_latency
s3-logs,prod,archiving
dynamodb-table,prod,read_capacity_low
api-gateway,dev,deploy_pending
cloudformation-stack,dev,update_in_progress
